id,car_type,fault,description,solution,category,difficulty
483,بيجو 301,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع فورد فوكس.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
484,سكودا أوكتافيا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع شيفروليه أوبترا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
485,نيسان صني,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع رينو لوجان.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
486,نيسان صني,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع بيجو 301.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
487,نيسان صني,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع هيونداي إلنترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
488,رينو لوجان,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع كيا سيراتو.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
489,سكودا أوكتافيا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع ميتسوبيشي لانسر.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
490,شيفروليه أوبترا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع فورد فوكس.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
491,تويوتا كورولا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع رينو لوجان.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,صعب
492,بيجو 301,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع بيجو 301.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
493,رينو لوجان,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع بيجو 301.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
494,سكودا أوكتافيا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع كيا سيراتو.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
495,سكودا أوكتافيا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع شيفروليه أوبترا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
496,هيونداي إلنترا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع هيونداي إلنترا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
497,رينو لوجان,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع فورد فوكس.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
498,فورد فوكس,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع سكودا أوكتافيا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
499,تويوتا كورولا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع نيسان صني.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
500,ميتسوبيشي لانسر,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع كيا سيراتو.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
501,سكودا أوكتافيا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع سكودا أوكتافيا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
502,كيا سيراتو,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع فورد فوكس.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
503,نيسان صني,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع هيونداي إلنترا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
504,نيسان صني,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع هيونداي إلنترا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
505,هيونداي إلنترا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع بيجو 301.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
506,بيجو 301,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع نيسان صني.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
507,تويوتا كورولا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع سكودا أوكتافيا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
508,تويوتا كورولا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع رينو لوجان.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
509,فورد فوكس,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع كيا سيراتو.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
510,كيا سيراتو,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع هيونداي إلنترا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
511,تويوتا كورولا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع كيا سيراتو.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
512,شيفروليه أوبترا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع تويوتا كورولا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
513,نيسان صني,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع سكودا أوكتافيا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
514,سكودا أوكتافيا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع رينو لوجان.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
515,سكودا أوكتافيا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع تويوتا كورولا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
516,فورد فوكس,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع فورد فوكس.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
517,سكودا أوكتافيا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع بيجو 301.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
518,سكودا أوكتافيا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع هيونداي إلنترا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
519,رينو لوجان,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع كيا سيراتو.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
520,تويوتا كورولا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع كيا سيراتو.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
521,فورد فوكس,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع نيسان صني.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
522,كيا سيراتو,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع سكودا أوكتافيا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
523,ميتسوبيشي لانسر,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع نيسان صني.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
524,سكودا أوكتافيا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع رينو لوجان.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,صعب
525,بيجو 301,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع سكودا أوكتافيا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
526,بيجو 301,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع شيفروليه أوبترا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
527,رينو لوجان,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع نيسان صني.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
528,فورد فوكس,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع نيسان صني.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
529,نيسان صني,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع كيا سيراتو.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
530,هيونداي إلنترا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع ميتسوبيشي لانسر.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
531,بيجو 301,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع ميتسوبيشي لانسر.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
532,تويوتا كورولا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع هيونداي إلنترا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
533,كيا سيراتو,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع رينو لوجان.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
534,تويوتا كورولا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع هيونداي إلنترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
535,بيجو 301,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع فورد فوكس.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
536,سكودا أوكتافيا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع هيونداي إلنترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
537,كيا سيراتو,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع هيونداي إلنترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
538,بيجو 301,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع رينو لوجان.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
539,بيجو 301,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع كيا سيراتو.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
540,سكودا أوكتافيا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع بيجو 301.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
541,بيجو 301,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع هيونداي إلنترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
542,ميتسوبيشي لانسر,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع كيا سيراتو.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
543,هيونداي إلنترا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع فورد فوكس.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
544,تويوتا كورولا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع تويوتا كورولا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,صعب
545,هيونداي إلنترا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع ميتسوبيشي لانسر.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
546,كيا سيراتو,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع هيونداي إلنترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
547,فورد فوكس,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع شيفروليه أوبترا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
548,فورد فوكس,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع سكودا أوكتافيا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
549,نيسان صني,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع هيونداي إلنترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
550,رينو لوجان,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع كيا سيراتو.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
551,سكودا أوكتافيا,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع رينو لوجان.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,سهل
552,كيا سيراتو,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع شيفروليه أوبترا.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,متوسط
553,ميتسوبيشي لانسر,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع رينو لوجان.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,متوسط
554,فورد فوكس,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع كيا سيراتو.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,متوسط
555,سكودا أوكتافيا,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع سكودا أوكتافيا.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,متوسط
556,رينو لوجان,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع رينو لوجان.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,صعب
557,رينو لوجان,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع هيونداي إلنترا.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,سهل
558,بيجو 301,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع بيجو 301.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,سهل
559,فورد فوكس,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع بيجو 301.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,سهل
560,سكودا أوكتافيا,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع هيونداي إلنترا.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,متوسط
561,هيونداي إلنترا,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع كيا سيراتو.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,سهل
562,ميتسوبيشي لانسر,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع ميتسوبيشي لانسر.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,سهل
563,نيسان صني,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع رينو لوجان.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,صعب
564,تويوتا كورولا,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع بيجو 301.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,صعب
565,سكودا أوكتافيا,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع بيجو 301.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,صعب
566,هيونداي إلنترا,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع هيونداي إلنترا.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,متوسط
567,تويوتا كورولا,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع تويوتا كورولا.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,متوسط
568,تويوتا كورولا,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع سكودا أوكتافيا.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,متوسط
569,بيجو 301,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع كيا سيراتو.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,سهل
570,نيسان صني,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع سكودا أوكتافيا.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,متوسط
571,سكودا أوكتافيا,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع كيا سيراتو.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,صعب
572,ميتسوبيشي لانسر,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع شيفروليه أوبترا.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,متوسط
573,هيونداي إلنترا,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع ميتسوبيشي لانسر.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,صعب
574,فورد فوكس,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع كيا سيراتو.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,صعب
575,رينو لوجان,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع كيا سيراتو.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,صعب
576,تويوتا كورولا,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع بيجو 301.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,متوسط
577,فورد فوكس,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع شيفروليه أوبترا.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,سهل
578,سكودا أوكتافيا,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع هيونداي إلنترا.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,سهل
579,سكودا أوكتافيا,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع سكودا أوكتافيا.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,صعب
580,بيجو 301,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع ميتسوبيشي لانسر.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,سهل
581,بيجو 301,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع سكودا أوكتافيا.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,صعب
582,نيسان صني,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع هيونداي إلنترا.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,سهل
583,سكودا أوكتافيا,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع تويوتا كورولا.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,سهل
584,نيسان صني,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع نيسان صني.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,سهل
585,فورد فوكس,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع تويوتا كورولا.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,سهل
586,تويوتا كورولا,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع هيونداي إلنترا.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,صعب
587,شيفروليه أوبترا,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع سكودا أوكتافيا.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,سهل
588,تويوتا كورولا,التكييف مش بيبرد,السواق لاحظ إن التكييف مش بيبرد والعربية من نوع فورد فوكس.,"جرب تنظف الفلتر وتشوف الفريون ناقص ولا لأ. لو الفريون تمام، ممكن الكومبروسر ضعيف.",تبريد,صعب
589,تويوتا كورولا,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع فورد فوكس.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,صعب
590,بيجو 301,مروحة التبريد مش شغالة,السواق لاحظ إن مروحة التبريد مش شغالة والعربية من نوع شيفروليه أوبترا.,"افحص فيوز المروحة والسلك بتاعها، لو تمام يبقى المروحة نفسها محتاجة تتغير.",تبريد,صعب
